budget,production,country_kaggle,director,genre_kaggle,gross,name,rating,released,runtime,score_imdb,star_kaggle,votes_imdb,writer_kaggle,year,genres_omdb,writers_omdb,actors_omdb,plot,language_omdb,country_omdb,awards,poster,score_metacritic,type
900000.0,Golden Harvest Company,Hong Kong,Stanley Tong,Action,16270600.0,Supercop,R,1996-07-26,95,6.9,Jackie Chan,16056,Edward Tang,1992,,,,,,,,,,
15000000.0,TriStar Pictures,USA,Michael Apted,Crime,22660758.0,Thunderheart,R,1992-04-03,119,6.8,Val Kilmer,12056,John Fusco,1992,,,,,,,,,,
25000000.0,Castle Rock Entertainment,USA,Andrew Bergman,Comedy,35208854.0,Honeymoon in Vegas,PG-13,1992-08-28,96,5.8,James Caan,15079,Andrew Bergman,1992,,,,,,,,,,
12000000.0,Walt Disney Pictures,USA,Brian Henson,Comedy,27281507.0,The Muppet Christmas Carol,G,1992-12-11,85,7.7,Michael Caine,37054,Charles Dickens,1992,,,,,,,,,,
900000.0,Corn Cobb Productions,USA,David Price,Horror,6980986.0,Children of the Corn II: The Final Sacrifice,R,1993-01-29,92,4.2,Terence Knox,6311,Stephen King,1992,,,,,,,,,,
45000000.0,Northern Lights Entertainment,USA,Roger Spottiswoode,Action,28411210.0,Stop! Or My Mom Will Shoot,PG-13,1992-02-21,87,4.1,Sylvester Stallone,33574,Blake Snyder,1992,,,,,,,,,,
5000000.0,British Broadcasting Corporation (BBC),UK,Kenneth Branagh,Comedy,4058564.0,Peter's Friends,R,1992-12-25,101,7.0,Hugh Laurie,9009,Rita Rudner,1992,,,,,,,,,,
0.0,Universal Pictures,USA,Arthur Hiller,Biography,17530973.0,The Babe,PG,1992-04-17,100,5.9,John Goodman,8040,John Fusco,1992,,,,,,,,,,
0.0,Penta Pictures,USA,Dale Launer,Comedy,754935.0,Love Potion No. 9,PG-13,1992-11-13,92,5.6,Tate Donovan,11082,Dale Launer,1992,,,,,,,,,,
14000000.0,Universal Pictures,USA,Walter Hill,Action,13747138.0,Trespass,R,1992-12-25,101,6.2,Bill Paxton,8433,Bob Gale,1992,,,,,,,,,,
20000000.0,TriStar Pictures,USA,Woody Allen,Comedy,10555619.0,Husbands and Wives,R,1992-09-18,103,7.6,Woody Allen,23108,Woody Allen,1992,,,,,,,,,,
0.0,IRS Media,USA,Carl Franklin,Crime,1543112.0,One False Move,R,1992-05-08,105,7.2,Bill Paxton,8085,Billy Bob Thornton,1992,,,,,,,,,,
20000000.0,Paramount Pictures,USA,Bruce Robinson,Crime,11390479.0,Jennifer 8,R,1992-11-06,124,6.2,Andy Garcia,12992,Bruce Robinson,1992,,,,,,,,,,
0.0,Columbia Pictures Corporation,USA,Rowdy Herrington,Action,9223441.0,Gladiator,R,1992-03-06,101,6.4,Cuba Gooding Jr.,7094,Djordje Milicevic,1992,,,,,,,,,,
40000000.0,Warner Bros.,USA,John Carpenter,Comedy,14358033.0,Memoirs of an Invisible Man,PG-13,1992-02-28,99,5.9,Chevy Chase,18652,H.F. Saint,1992,,,,,,,,,,
15000000.0,Columbia Pictures Corporation,USA,Peter MacDonald,Action,40227000.0,Mo' Money,R,1992-07-24,89,5.4,Damon Wayans,5876,Damon Wayans,1992,,,,,,,,,,
0.0,Dark Horse Entertainment,USA,Manny Coto,Comedy,8403433.0,Dr. Giggles,R,1992-10-23,95,5.1,Larry Drake,4705,Manny Coto,1992,,,,,,,,,,
0.0,Imagine Entertainment,USA,Frank Oz,Comedy,58500635.0,HouseSitter,PG,1992-06-12,102,6.0,Steve Martin,18396,Mark Stein,1992,,,,,,,,,,
7500000.0,Warner Bros.,USA,Randall Miller,Comedy,13272113.0,Class Act,PG-13,1992-06-05,98,6.0,Christopher Reid,4351,Michael Swerdlick,1992,,,,,,,,,,
