name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
My Dog Skip,7 wins & 4 nominations.,0,7,4,11
Return to Me,2 wins & 2 nominations.,0,2,2,4
Thomas and the Magic Railroad,2 nominations.,0,0,2,2
102 Dalmatians,Nominated for 1 Oscar. Another 1 win & 7 nominations.,1,1,7,9
Gossip,3 nominations,0,0,3,3
Traffic,Won 4 Oscars. Another 70 wins & 87 nominations.,4,70,87,161
Come Undone,1 nomination.,0,0,1,1
Dungeons & Dragons,11 nominations.,0,0,11,11
The Man Who Cried,3 wins & 3 nominations.,0,3,3,6
Girlfight,15 wins & 18 nominations,0,15,18,33
Rugrats in Paris: The Movie,3 wins & 7 nominations,0,3,7,10
Rules of Engagement,1 win & 2 nominations.,0,1,2,3
Duets,1 nomination.,0,0,1,1
Mission: Impossible II,12 wins & 20 nominations.,0,12,20,32
Drowning Mona,1 nomination.,0,0,1,1
Together,15 wins & 15 nominations.,0,15,15,30
Billy Elliot,Nominated for 3 Oscars. 56 wins & 73 nominations total,3,56,73,132
Chicken Run,Nominated for 1 BAFTA Film Award. Another 23 wins & 25 nominations.,0,23,26,49
Big Momma's House,1 win & 9 nominations.,0,1,9,10
In the Mood for Love,Nominated for 1 BAFTA Film Award. Another 46 wins & 50 nominations.,0,46,51,97
Keeping the Faith,2 wins & 6 nominations.,0,2,6,8
Highlander: Endgame,1 nomination,0,0,1,1
Amores Perros,Nominated for 1 Oscar. 55 wins & 25 nominations total,1,55,25,81
The Claim,1 win & 10 nominations.,0,1,10,11
Tigerland,2 wins & 5 nominations.,0,2,5,7
The Art of War,2 wins & 9 nominations.,0,2,9,11
The Contender,Nominated for 2 Oscars. Another 1 win & 20 nominations.,2,1,20,23
Miss Congeniality,Nominated for 2 Golden Globes. Another 7 wins & 6 nominations.,0,7,8,15
Mission to Mars,2 nominations.,0,0,2,2
High Fidelity,3 wins & 22 nominations total,0,3,22,25
Gone in Sixty Seconds,,0,0,0,0
The Little Vampire,1 win & 3 nominations.,0,1,3,4
Romeo Must Die,2 wins & 7 nominations,0,2,7,9
Timecode,2 nominations.,0,0,2,2
The Adventures of Rocky & Bullwinkle,2 wins & 6 nominations,0,2,6,8
Greenfingers,1 nomination,0,0,1,1
El asalto,,0,0,0,0
Best in Show,Nominated for 1 Golden Globe. Another 11 wins & 13 nominations.,0,11,14,25
The Family Man,4 wins & 6 nominations.,0,4,6,10
Meet the Parents,Nominated for 1 Oscar. Another 7 wins & 14 nominations.,1,7,14,22
Red Planet,1 nomination.,0,0,1,1
The Yards,3 wins & 2 nominations.,0,3,2,5
Bless the Child,1 win & 6 nominations,0,1,6,7
Antes que anochezca,,0,0,0,0
The Ladies Man,1 nomination.,0,0,1,1
Ready to Rumble,1 nomination.,0,0,1,1
"Me, Myself & Irene",2 wins & 4 nominations,0,2,4,6
Hollow Man,Nominated for 1 Oscar. Another 7 wins & 13 nominations.,1,7,13,21
Reindeer Games,3 nominations.,0,0,3,3
Maybe Baby,1 nomination.,0,0,1,1
Gun Shy,,0,0,0,0
Almost Famous,Won 1 Oscar. Another 52 wins & 103 nominations.,1,52,103,156
Woman on Top,3 nominations.,0,0,3,3
How the Grinch Stole Christmas,Won 1 Oscar. Another 17 wins & 37 nominations.,1,17,37,55
The Whole Nine Yards,6 nominations,0,0,6,6
Next Friday,2 nominations.,0,0,2,2
Charlie's Angels,15 wins & 33 nominations,0,15,33,48
The Weight of Water,1 win & 1 nomination.,0,1,1,2
All the Pretty Horses,2 wins & 14 nominations.,0,2,14,16
The Patriot,Nominated for 3 Oscars. 9 wins & 20 nominations total,3,9,20,32
Wonder Boys,Won 1 Oscar. 21 wins & 46 nominations total,1,21,46,68
The Beach,7 nominations.,0,0,7,7
Gangster No. 1,1 win & 9 nominations.,0,1,9,10
Titan A.E.,1 win & 6 nominations,0,1,6,7
Remember the Titans,8 wins & 18 nominations.,0,8,18,26
The Crimson Rivers,1 win & 6 nominations.,0,1,6,7
Scream 3,6 wins & 5 nominations,0,6,5,11
Screwed,,0,0,0,0
Animal Factory,1 nomination.,0,0,1,1
You Can Count on Me,Nominated for 2 Oscars. 30 wins & 43 nominations total,2,30,43,75
The Out-of-Towners,1 win.,0,1,0,1
Rosetta,9 wins & 7 nominations.,0,9,7,16
Sweet and Lowdown,Nominated for 2 Oscars. Another 1 win & 13 nominations.,2,1,13,16
Enredos de oficina,,0,0,0,0
Deep Blue Sea,2 wins & 4 nominations.,0,2,4,6
Being John Malkovich,Nominated for 3 Oscars. Another 48 wins & 76 nominations.,3,48,76,127
Election,Nominated for 1 Oscar. 16 wins & 34 nominations total,1,16,34,51
Jin-Roh: The Wolf Brigade,4 wins & 2 nominations.,0,4,2,6
The Green Mile,Nominated for 4 Oscars. Another 15 wins & 33 nominations.,4,15,33,52
Drive Me Crazy,1 win,0,1,0,1
Star Wars: Episode I - The Phantom Menace,Nominated for 3 Oscars. Another 26 wins & 66 nominations.,3,26,66,95
Pushing Tin,2 nominations,0,0,2,2
Random Hearts,,0,0,0,0
Breakfast of Champions,1 nomination.,0,0,1,1
8 � Women,,0,0,0,0
Romance,1 nomination.,0,0,1,1
Dick,4 nominations.,0,0,4,4
Kikujiro,4 wins & 4 nominations.,0,4,4,8
She's All That,8 wins & 5 nominations.,0,8,5,13
Dead or Alive,2 wins.,0,2,0,2
The Other Sister,2 nominations.,0,0,2,2
Julien Donkey-Boy,3 wins & 4 nominations.,0,3,4,7
Jakob the Liar,2 wins & 3 nominations.,0,2,3,5
Wild Wild West,15 wins & 17 nominations.,0,15,17,32
But I'm a Cheerleader,2 wins & 2 nominations.,0,2,2,4
Stigmata,6 nominations.,0,0,6,6
The King and I,Won 5 Oscars. Another 5 wins & 12 nominations.,5,5,12,22
The Love Letter,1 nomination.,0,0,1,1
Runaway Bride,6 wins & 10 nominations.,0,6,10,16
Entrapment,4 wins & 6 nominations.,0,4,6,10
Dudley Do-Right,1 nomination.,0,0,1,1
Jesus' Son,4 wins & 7 nominations.,0,4,7,11
"South Park: Bigger, Longer & Uncut",Nominated for 1 Oscar. Another 7 wins & 10 nominations.,1,7,10,18
Dogma,8 nominations,0,0,8,8
The Loss of Sexual Innocence,1 nomination.,0,0,1,1
El piso 13,,0,0,0,0
The General's Daughter,3 wins & 5 nominations,0,3,5,8
Drop Dead Gorgeous,2 wins & 2 nominations.,0,2,2,4
The Rage: Carrie 2,1 win & 3 nominations.,0,1,3,4
Stir of Echoes,3 wins & 5 nominations.,0,3,5,8
Payback,2 wins & 2 nominations.,0,2,2,4
Body Shots,,0,0,0,0
8MM,2 wins & 2 nominations,0,2,2,4
Rescate explosivo,,0,0,0,0
Wing Commander,,0,0,0,0
Big Daddy,8 wins & 14 nominations.,0,8,14,22
East Is East,Nominated for 4 BAFTA Film Awards. Another 16 wins & 10 nominations.,0,16,14,30
The Mummy,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,1,5,23,29
Pok�mon: The Movie 2000,,0,0,0,0
Idle Hands,4 nominations.,0,0,4,4
Plunkett & Macleane,,0,0,0,0
Brokedown Palace,1 nomination,0,0,1,1
The End of the Affair,Nominated for 2 Oscars. 2 wins & 29 nominations total,2,2,29,33
Jawbreaker,1 nomination.,0,0,1,1
Ride with the Devil,1 nomination,0,0,1,1
End of Days,1 win & 7 nominations,0,1,7,8
Splendor,,0,0,0,0
Double Jeopardy,1 win & 3 nominations.,0,1,3,4
The Road Home,19 wins & 10 nominations.,0,19,10,29
Blue Streak,,0,0,0,0
Black & White,56 wins & 4 nominations.,0,56,4,60
The Omega Code,,0,0,0,0
The Mod Squad,7 nominations,0,0,7,7
The Insider,Nominated for 7 Oscars. Another 23 wins & 51 nominations.,7,23,51,81
Detroit Rock City,3 nominations.,0,0,3,3
Best Laid Plans,1 win.,0,1,0,1
Superstar,2 nominations.,0,0,2,2
Whiteboyz,2 nominations.,0,0,2,2
Cruel Intentions,8 wins & 14 nominations.,0,8,14,22
Better Than Chocolate,1 win & 1 nomination.,0,1,1,2
Deuce Bigalow: Male Gigolo,2 nominations.,0,0,2,2
The Minus Man,1 win & 4 nominations.,0,1,4,5
Simplemente irresistible,,0,0,0,0
Play It to the Bone,,0,0,0,0
The Girl on the Bridge,Nominated for 1 BAFTA Film Award. Another 6 wins & 17 nominations.,0,6,18,24
The Muse,Nominated for 1 Golden Globe. Another 2 nominations.,0,0,3,3
Snow Falling on Cedars,Nominated for 1 Oscar. Another 5 wins & 10 nominations.,1,5,10,16
The Limey,1 win & 9 nominations.,0,1,9,10
Bicentennial Man,Nominated for 1 Oscar. 2 wins & 8 nominations total,1,2,8,11
The Matrix,Won 4 Oscars. 42 wins & 51 nominations total,4,42,51,97
Human Traffic,9 wins & 7 nominations.,0,9,7,16
Blast from the Past,1 nomination.,0,0,1,1
Boys Don't Cry,Won 1 Oscar. 50 wins & 38 nominations total,1,50,38,89
Simpatico,1 nomination.,0,0,1,1
House on Haunted Hill,1 win & 4 nominations,0,1,4,5
The Iron Giant,20 wins & 18 nominations total,0,20,18,38
The Hurricane,Nominated for 1 Oscar. Another 7 wins & 17 nominations.,1,7,17,25
Eye of the Beholder,1 win.,0,1,0,1
"Stuart Little, un rat�n en la familia",,0,0,0,0
Summer of Sam,6 nominations.,0,0,6,6
Bowfinger,6 nominations.,0,0,6,6
Fantasia 2000,4 wins & 7 nominations.,0,4,7,11
Sleepy Hollow,Won 1 Oscar. 28 wins & 44 nominations total,1,28,44,73
Bats,,0,0,0,0
Eyes Wide Shut,12 wins & 30 nominations.,0,12,30,42
Edtv,2 nominations,0,0,2,2
The Messenger: The Story of Joan of Arc,5 wins & 13 nominations.,0,5,13,18
Bringing Out the Dead,2 wins & 5 nominations.,0,2,5,7
Holy Smoke,2 wins & 3 nominations.,0,2,3,5
eXistenZ: Mundo virtual,,0,0,0,0
The Deep End of the Ocean,3 wins & 2 nominations.,0,3,2,5
The Big Kahuna,1 nomination.,0,0,1,1
The Astronaut's Wife,1 nomination.,0,0,1,1
Varsity Blues,2 wins & 5 nominations.,0,2,5,7
The World Is Not Enough,7 wins & 12 nominations.,0,7,12,19
The Talented Mr. Ripley,Nominated for 5 Oscars. Another 10 wins & 76 nominations.,5,10,76,91
La maldici�n,,0,0,0,0
La �ltima puerta,,0,0,0,0
Galaxy Quest,7 wins & 14 nominations.,0,7,14,21
Gloria,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,1,4,4,9
Lake Placid,,0,0,0,0
For Love of the Game,7 nominations.,0,0,7,7
The Wood,1 win & 7 nominations.,0,1,7,8
A Map of the World,Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,0,3,6,9
Titus,Nominated for 1 Oscar. Another 4 wins & 18 nominations.,1,4,18,23
True Crime,5 nominations.,0,0,5,5
The Thomas Crown Affair,3 wins & 2 nominations.,0,3,2,5
All About My Mother,Won 1 Oscar. 58 wins & 40 nominations total,1,58,40,99
"Girl, Interrupted",Won 1 Oscar. 8 wins & 11 nominations total,1,8,11,20
My Life So Far,,0,0,0,0
The Straight Story,Nominated for 1 Oscar. Another 18 wins & 39 nominations.,1,18,39,58
Agnes Browne,1 win & 2 nominations.,0,1,2,3
10 Things I Hate About You,2 wins & 13 nominations.,0,2,13,15
An Ideal Husband,Nominated for 2 Golden Globes. Another 4 wins & 15 nominations.,0,4,17,21
Onegin,3 wins & 4 nominations total,0,3,4,7
Cookie's Fortune,3 wins & 11 nominations.,0,3,11,14
Mystery Men,3 nominations.,0,0,3,3
Universal Soldier: The Return,,0,0,0,0
"Mystery, Alaska",1 nomination.,0,0,1,1
Mickey Blue Eyes,,0,0,0,0
Liberty Heights,2 nominations.,0,0,2,2
Terror Firmer,,0,0,0,0
Any Given Sunday,3 wins & 9 nominations.,0,3,9,12
The Cider House Rules,Won 2 Oscars. Another 6 wins & 30 nominations.,2,6,30,38
Love Stinks,,0,0,0,0
Arlington Road,5 nominations.,0,0,5,5
Molly,,0,0,0,0
Man on the Moon,Won 1 Golden Globe. Another 4 wins & 25 nominations.,0,5,25,30
Cradle Will Rock,5 wins & 7 nominations.,0,5,7,12
The Blair Witch Project,19 wins & 26 nominations.,0,19,26,45
Tarzan,Won 1 Oscar. Another 10 wins & 23 nominations.,1,10,23,34
Godzilla 2000,2 nominations.,0,0,2,2
200 Cigarettes,2 nominations.,0,0,2,2
The War Zone,9 wins & 12 nominations.,0,9,12,21
A Midsummer Night's Dream,1 win & 2 nominations.,0,1,2,3
Coming Soon,1 win & 6 nominations.,0,1,6,7
Teaching Mrs. Tingle,4 nominations.,0,0,4,4
Tea with Mussolini,Won 1 BAFTA Film Award. Another 4 wins & 3 nominations.,0,5,3,8
Topsy-Turvy,Won 2 Oscars. Another 11 wins & 28 nominations.,2,11,28,41
Notting Hill,Nominated for 1 BAFTA Film Award. Another 11 wins & 16 nominations.,0,11,17,28
Go,5 wins & 7 nominations.,0,5,7,12
Austin Powers: The Spy Who Shagged Me,Nominated for 1 Oscar. Another 18 wins & 30 nominations.,1,18,30,49
Toy Story 2,Nominated for 1 Oscar. Another 21 wins & 26 nominations.,1,21,26,48
Anywhere But Here,4 nominations.,0,0,4,4
The Winslow Boy,6 wins & 5 nominations.,0,6,5,11
The Bone Collector,1 win & 3 nominations.,0,1,3,4
Never Been Kissed,2 wins & 8 nominations.,0,2,8,10
In Too Deep,2 wins.,0,2,0,2
The Bachelor,1 win & 2 nominations.,0,1,2,3
October Sky,4 wins & 11 nominations.,0,4,11,15
The Color of Paradise,10 wins & 11 nominations.,0,10,11,21
Crazy in Alabama,5 wins & 6 nominations.,0,5,6,11
Forces of Nature,2 wins & 5 nominations.,0,2,5,7
Tumbleweeds,Nominated for 1 Oscar. Another 10 wins & 11 nominations.,1,10,11,22
At First Sight,,0,0,0,0
The Story of Us,1 win & 4 nominations.,0,1,4,5
Anna and the King,Nominated for 2 Oscars. Another 12 nominations.,2,0,12,14
Mumford,1 win & 1 nomination,0,1,1,2
Outside Providence,1 nomination.,0,0,1,1
Music of the Heart,Nominated for 2 Oscars. Another 5 wins & 9 nominations.,2,5,9,16
Three Kings,8 wins & 19 nominations.,0,8,19,27
Chill Factor,1 nomination.,0,0,1,1
Muppets from Space,1 nomination.,0,0,1,1
Inspector Gadget,1 win & 13 nominations.,0,1,13,14
Virtual Sexuality,,0,0,0,0
Trick,2 wins & 2 nominations.,0,2,2,4
Magnolia,Nominated for 3 Oscars. 28 wins & 59 nominations total,3,28,59,90
Instinct,1 win & 2 nominations.,0,1,2,3
Trippin',,0,0,0,0
Three to Tango,,0,0,0,0
Virus,,0,0,0,0
The Sixth Sense,Nominated for 6 Oscars. Another 37 wins & 50 nominations.,6,37,50,93
A Room for Romeo Brass,3 nominations.,0,0,3,3
The Corruptor,1 nomination,0,0,1,1
The Adventures of Elmo in Grouchland,1 win & 1 nomination.,0,1,1,2
Life,8 nominations,0,0,8,8
Grey Owl,1 win & 5 nominations,0,1,5,6
Swiri,8 wins & 4 nominations.,0,8,4,12
Fight Club,Nominated for 1 Oscar. 11 wins & 38 nominations total,1,11,38,50
American Beauty,Won 5 Oscars. Another 106 wins & 102 nominations.,5,106,102,213
Ghost dog - El camino del samurai,,0,0,0,0
"Happy, Texas",6 wins & 6 nominations.,0,6,6,12
Analyze This,4 wins & 7 nominations.,0,4,7,11
Mansfield Park,5 nominations,0,0,5,5
The Virgin Suicides,3 wins & 14 nominations.,0,3,14,17
A Walk on the Moon,1 win & 6 nominations.,0,1,6,7
My Favorite Martian,3 nominations.,0,0,3,3
The 13th Warrior,2 wins & 2 nominations.,0,2,2,4
Message in a Bottle,6 nominations,0,0,6,6
Angela's Ashes,Nominated for 1 Oscar. Another 5 wins & 11 nominations.,1,5,11,17
The Boondock Saints,,0,0,0,0
American Pie,9 wins & 14 nominations.,0,9,14,23
In Dreams,1 win.,0,1,0,1
The Best Man,8 wins & 11 nominations.,0,8,11,19
Baby Geniuses,2 wins & 3 nominations.,0,2,3,5
Thursday,1 win & 1 nomination.,0,1,1,2
The Faculty,11 nominations.,0,0,11,11
The Celebration,Nominated for 1 BAFTA Film Award. Another 28 wins & 22 nominations.,0,28,23,51
Gods and Monsters,Won 1 Oscar. Another 37 wins & 33 nominations.,1,37,33,71
I Want You,2 wins & 2 nominations.,0,2,2,4
Your Friends & Neighbors,2 wins & 4 nominations.,0,2,4,6
The Players Club,1 win.,0,1,0,1
Lovers of the Arctic Circle,14 wins & 8 nominations.,0,14,8,22
Apt Pupil,6 wins & 10 nominations.,0,6,10,16
Slappy and the Stinkers,1 win,0,1,0,1
How Stella Got Her Groove Back,4 wins & 8 nominations.,0,4,8,12
The Wedding Singer,5 wins & 7 nominations.,0,5,7,12
Acusado sin raz�n,,0,0,0,0
The Parent Trap,2 wins & 7 nominations,0,2,7,9
Hard Rain,,0,0,0,0
Free Enterprise,5 wins & 2 nominations.,0,5,2,7
Mafia!,2 nominations.,0,0,2,2
Desperate Measures,1 win.,0,1,0,1
The Big Lebowski,5 wins & 18 nominations,0,5,18,23
Cousin Bette,1 win & 1 nomination.,0,1,1,2
The Waterboy,6 wins & 6 nominations.,0,6,6,12
Esc�ndalo,,0,0,0,0
I Still Know What You Did Last Summer,5 wins & 7 nominations,0,5,7,12
Rush Hour,6 wins & 9 nominations,0,6,9,15
I'll Be Home for Christmas,,0,0,0,0
Why Do Fools Fall in Love,2 wins & 4 nominations.,0,2,4,6
Dance with Me,5 nominations.,0,0,5,5
Can't Hardly Wait,2 nominations.,0,0,2,2
Rounders,1 win & 1 nomination.,0,1,1,2
Urban Legend,1 win & 2 nominations.,0,1,2,3
Wide Awake,2 nominations.,0,0,2,2
Chairman of the Board,3 nominations.,0,0,3,3
Armageddon,Nominated for 4 Oscars. Another 15 wins & 36 nominations.,4,15,36,55
The Mask of Zorro,Nominated for 2 Oscars. Another 9 wins & 16 nominations.,2,9,16,27
My Name Is Joe,13 wins & 11 nominations.,0,13,11,24
Rushmore,16 wins & 16 nominations,0,16,16,32
Waking Ned Devine,,0,0,0,0
Shakespeare in Love,Won 7 Oscars. Another 57 wins & 87 nominations.,7,57,87,151
Hilary and Jackie,Nominated for 2 Oscars. Another 4 wins & 22 nominations.,2,4,22,28
The Impostors,1 nomination.,0,0,1,1
The Newton Boys,,0,0,0,0
El secreto,,0,0,0,0
Dancing at Lughnasa,2 wins & 7 nominations.,0,2,7,9
Still Crazy,2 wins & 5 nominations.,0,2,5,7
The Land Girls,,0,0,0,0
The Opposite of Sex,Nominated for 1 Golden Globe. Another 14 wins & 23 nominations.,0,14,24,38
The Magic Sword: Quest for Camelot,,0,0,0,0
Zero Effect,1 nomination.,0,0,1,1
Strangeland,1 nomination.,0,0,1,1
West Beirut,8 wins & 2 nominations.,0,8,2,10
Ride,,0,0,0,0
Six Days Seven Nights,2 wins & 5 nominations,0,2,5,7
The Man in the Iron Mask,3 wins & 4 nominations.,0,3,4,7
Wild Things,2 wins & 4 nominations.,0,2,4,6
The X Files,7 wins & 11 nominations.,0,7,11,18
Air Bud: Golden Receiver,4 nominations.,0,0,4,4
Another Day in Paradise,3 wins & 1 nomination.,0,3,1,4
Blues Brothers 2000,4 nominations.,0,0,4,4
The Odd Couple II,1 nomination.,0,0,1,1
Elizabeth,Won 1 Oscar. Another 33 wins & 55 nominations.,1,33,55,89
Almost Heroes,,0,0,0,0
The Object of My Affection,1 win & 1 nomination,0,1,1,2
The Big Hit,,0,0,0,0
You've Got Mail,6 wins & 8 nominations.,0,6,8,14
Simon Birch,3 wins & 3 nominations,0,3,3,6
A Civil Action,Nominated for 2 Oscars. Another 5 wins & 8 nominations.,2,5,8,15
Major League: Back to the Minors,1 win.,0,1,0,1
Run Lola Run,Nominated for 1 BAFTA Film Award. Another 28 wins & 20 nominations.,0,28,21,49
New Rose Hotel,2 wins & 2 nominations.,0,2,2,4
The Mighty,Nominated for 2 Golden Globes. Another 3 wins & 2 nominations.,0,3,4,7
There's Something About Mary,Nominated for 2 Golden Globes. Another 17 wins & 15 nominations.,0,17,17,34
Rudolph the Red-Nosed Reindeer,,0,0,0,0
Un �ngel enamorado,,0,0,0,0
Dangerous Beauty,2 nominations.,0,0,2,2
Mulan,Nominated for 1 Oscar. Another 17 wins & 20 nominations.,1,17,20,38
Madeline,5 nominations.,0,0,5,5
Enemy of the State,5 wins & 16 nominations.,0,5,16,21
He Got Game,10 nominations.,0,0,10,10
Ronin,1 win & 4 nominations.,0,1,4,5
Senseless,,0,0,0,0
Buffalo '66,6 wins & 11 nominations.,0,6,11,17
Get Real,6 wins & 3 nominations,0,6,3,9
Star Trek: Insurrection,3 wins & 8 nominations.,0,3,8,11
Antz,Nominated for 1 BAFTA Film Award. Another 6 wins & 13 nominations.,0,6,14,20
Ringmaster,1 win.,0,1,0,1
Belly,1 nomination.,0,0,1,1
Six-String Samurai,2 wins & 2 nominations.,0,2,2,4
Beloved,Nominated for 1 Oscar. 3 wins & 24 nominations total,1,3,24,28
Return to Paradise,2 nominations.,0,0,2,2
My Giant,,0,0,0,0
What Dreams May Come,Won 1 Oscar. Another 6 wins & 2 nominations.,1,6,2,9
Sliding Doors,6 wins & 4 nominations.,0,6,4,10
U.S. Marshals,1 nomination.,0,0,1,1
Meet Joe Black,3 wins & 6 nominations.,0,3,6,9
Playing by Heart,1 win & 1 nomination.,0,1,1,2
Saving Private Ryan,Won 5 Oscars. Another 74 wins & 75 nominations.,5,74,75,154
Halloween H20: 20 Years Later,2 wins & 12 nominations,0,2,12,14
Savior,2 wins.,0,2,0,2
Species II,1 nomination.,0,0,1,1
The Legend of 1900,Won 1 Golden Globe. Another 21 wins & 10 nominations.,0,22,10,32
Knock Off,,0,0,0,0
The Rugrats Movie,2 wins & 6 nominations.,0,2,6,8
Very Bad Things,2 wins & 3 nominations.,0,2,3,5
Barney's Great Adventure,5 nominations.,0,0,5,5
Jack Frost,1 nomination.,0,0,1,1
Fallen,3 nominations.,0,0,3,3
Pleasantville,Nominated for 3 Oscars. 18 wins & 45 nominations total,3,18,45,66
Following,5 wins & 4 nominations.,0,5,4,9
Twice Upon a Yesterday,3 wins & 5 nominations.,0,3,5,8
Mighty Joe Young,Nominated for 1 Oscar. 1 win & 4 nominations total,1,1,4,6
Train of Life,10 wins & 4 nominations.,0,10,4,14
B. Monkey,,0,0,0,0
A Night at the Roxbury,,0,0,0,0
Hush,2 wins & 7 nominations.,0,2,7,9
BASEketball,2 nominations.,0,0,2,2
Velvet Goldmine,Nominated for 1 Oscar. Another 4 wins & 11 nominations.,1,4,11,16
Deep Rising,2 nominations.,0,0,2,2
Hideous Kinky,1 win.,0,1,0,1
One True Thing,Nominated for 1 Oscar. Another 7 nominations.,1,0,7,8
Pok�mon: The First Movie - Mewtwo Strikes Back,,0,0,0,0
Babe el puerquito va a la ciudad,,0,0,0,0
Deep Impact,5 wins & 14 nominations.,0,5,14,19
54,9 nominations.,0,0,9,9
Out of Sight,Nominated for 2 Oscars. Another 13 wins & 13 nominations.,2,13,13,28
Bride of Chucky,5 wins & 7 nominations,0,5,7,12
Pi,8 wins & 12 nominations.,0,8,12,20
Woo,,0,0,0,0
Hope Floats,3 wins & 9 nominations.,0,3,9,12
Sour Grapes,2 wins,0,2,0,2
Pecker,2 wins & 1 nomination.,0,2,1,3
Firestorm,,0,0,0,0
American History X,Nominated for 1 Oscar. 4 wins & 15 nominations total,1,4,15,20
Paulie,2 wins & 6 nominations.,0,2,6,8
Ciudad en tinieblas,,0,0,0,0
The Last Days of Disco,1 win & 1 nomination,0,1,1,2
Patch Adams,Nominated for 1 Oscar. Another 1 win & 7 nominations.,1,1,7,9
Bulworth,Nominated for 1 Oscar. 1 win & 20 nominations total,1,1,20,22
All I Wanna Do,,0,0,0,0
Xiu Xiu: The Sent-Down Girl,12 wins & 13 nominations.,0,12,13,25
The Siege,2 wins & 4 nominations.,0,2,4,6
Fear and Loathing in Las Vegas,1 win & 3 nominations.,0,1,3,4
Doctor Dolittle,4 wins & 10 nominations.,0,4,10,14
The Gingerbread Man,,0,0,0,0
Mercury Rising,2 wins.,0,2,0,2
The Dinner Game,,0,0,0,0
Half Baked,,0,0,0,0
Phantoms,2 nominations.,0,0,2,2
"Lock, Stock and Two Smoking Barrels",Nominated for 1 BAFTA Film Award. Another 13 wins & 8 nominations.,0,13,9,22
Krippendorf's Tribe,1 nomination.,0,0,1,1
Meet the Deedles,1 win & 2 nominations.,0,1,2,3
Little Voice,Nominated for 1 Oscar. Another 2 wins & 29 nominations.,1,2,29,32
Without Limits,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,0,1,2,3
Perturbados,,0,0,0,0
Blade,5 wins & 11 nominations.,0,5,11,16
Permanent Midnight,1 nomination.,0,0,1,1
Black Dog,,0,0,0,0
Celebrity,4 nominations.,0,0,4,4
3 Ninjas: High Noon at Mega Mountain,2 nominations.,0,0,2,2
Central Station,Nominated for 2 Oscars. Another 43 wins & 24 nominations.,2,43,24,69
The General,2 wins & 1 nomination.,0,2,1,3
Vampires,7 wins & 6 nominations.,0,7,6,13
Tarzan and the Lost City,1 nomination.,0,0,1,1
Safe Men,,0,0,0,0
The Horse Whisperer,Nominated for 1 Oscar. Another 4 wins & 18 nominations.,1,4,18,23
Snake Eyes,1 win & 4 nominations.,0,1,4,5
Psycho,Nominated for 4 Oscars. Another 8 wins & 10 nominations.,4,8,10,22
A Perfect Murder,2 wins & 3 nominations.,0,2,3,5
Slums of Beverly Hills,9 nominations.,0,0,9,9
Small Soldiers,3 wins & 4 nominations,0,3,4,7
Immortality,3 wins & 3 nominations.,0,3,3,6
Sphere,3 nominations,0,0,3,3
The Prince of Egypt,Won 1 Oscar. 12 wins & 27 nominations total,1,12,27,40
Lethal Weapon 4,4 wins & 11 nominations,0,4,11,15
Smoke Signals,12 wins & 8 nominations.,0,12,8,20
A Bug's Life,Nominated for 1 Oscar. Another 14 wins & 20 nominations.,1,14,20,35
Home Fries,,0,0,0,0
The Truman Show,Nominated for 3 Oscars. Another 40 wins & 66 nominations.,3,40,66,109
Ever After: A Cinderella Story,6 wins & 15 nominations.,0,6,15,21
Goodbye Lover,2 nominations.,0,0,2,2
Los idiotas,,0,0,0,0
"Black Cat, White Cat",5 wins & 5 nominations,0,5,5,10
The Replacement Killers,1 nomination.,0,0,1,1
Holy Man,1 nomination.,0,0,1,1
Dead Man on Campus,,0,0,0,0
Hurlyburly,1 win & 3 nominations.,0,1,3,4
Soldier,1 nomination.,0,0,1,1
The Thin Red Line,Nominated for 7 Oscars. 21 wins & 47 nominations total,7,21,47,75
Clay Pigeons,1 nomination.,0,0,1,1
Stepmom,8 wins & 7 nominations,0,8,7,15
Practical Magic,1 win & 6 nominations,0,1,6,7
A Simple Plan,Nominated for 2 Oscars. Another 16 wins & 22 nominations.,2,16,22,40
High Art,7 wins & 18 nominations.,0,7,18,25
The Red Violin,Won 1 Oscar. Another 19 wins & 19 nominations.,1,19,19,39
The Hi-Lo Country,4 wins & 4 nominations.,0,4,4,8
SLC Punk!,2 wins & 6 nominations.,0,2,6,8
Kissing a Fool,1 nomination.,0,0,1,1
Homegrown,,0,0,0,0
Dirty Work,,0,0,0,0
'Til There Was You,1 nomination.,0,0,1,1
Gridlock'd,2 wins & 1 nomination.,0,2,1,3
An Alan Smithee Film: Burn Hollywood Burn,6 wins & 8 nominations.,0,6,8,14
Mr. Jealousy,,0,0,0,0
RocketMan,Won 1 Oscar. Another 20 wins & 78 nominations.,1,20,78,99
Alien Resurrection,7 wins & 21 nominations.,0,7,21,28
Scream 2,8 wins & 13 nominations.,0,8,13,21
Liar Liar,4 wins & 6 nominations.,0,4,6,10
Mousehunt,2 wins & 2 nominations.,0,2,2,4
McHale's Navy,2 wins & 2 nominations.,0,2,2,4
Zeus and Roxanne,,0,0,0,0
