name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
The Gunman,1 nomination.,0,0,1,1
Mr. Right,2 nominations.,0,0,2,2
Get Hard,2 nominations.,0,0,2,2
Burnt,6 wins & 1 nomination,0,6,1,7
The Good Dinosaur,9 wins & 41 nominations.,0,9,41,50
Hitman: Agent 47,2 nominations.,0,0,2,2
Brooklyn,Nominated for 3 Oscars. Another 38 wins & 158 nominations.,3,38,158,199
The End of the Tour,4 wins & 18 nominations,0,4,18,22
Carol,Nominated for 6 Oscars. Another 77 wins & 248 nominations.,6,77,248,331
La noche del demonio: Capitulo 3,,0,0,0,0
The Dressmaker,15 wins & 41 nominations.,0,15,41,56
La habitaci�n,,0,0,0,0
The Big Short,Won 1 Oscar. Another 36 wins & 81 nominations.,1,36,81,118
Z for Zachariah,3 nominations.,0,0,3,3
The Blackcoat's Daughter,6 nominations.,0,0,6,6
The Hunger Games: Mockingjay - Part 2,16 wins & 34 nominations,0,16,34,50
The Boy Next Door,1 win & 6 nominations.,0,1,6,7
I Saw the Light,,0,0,0,0
The Bronze,1 nomination.,0,0,1,1
Alvin and the Chipmunks: The Road Chip,1 win & 4 nominations,0,1,4,5
Freeheld,1 win & 10 nominations.,0,1,10,11
Born to Be Blue,3 wins & 7 nominations.,0,3,7,10
Chi-Raq,4 wins & 14 nominations,0,4,14,18
Avengers: Age of Ultron,8 wins & 49 nominations,0,8,49,57
Frente al mar,,0,0,0,0
Anomalisa,Nominated for 1 Oscar. 25 wins & 79 nominations total,1,25,79,105
La langosta,,0,0,0,0
The D Train,2 nominations.,0,0,2,2
The DUFF,1 win & 8 nominations.,0,1,8,9
Chappie,3 nominations.,0,0,3,3
The Danish Girl,Won 1 Oscar. Another 30 wins & 79 nominations.,1,30,79,110
Ant-Man,Nominated for 1 BAFTA Film Award. Another 4 wins & 33 nominations.,0,4,34,38
The Diary of a Teenage Girl,16 wins & 37 nominations,0,16,37,53
The Peanuts Movie,Nominated for 1 Golden Globe. Another 2 wins & 47 nominations.,0,2,48,50
Legend,6 wins & 12 nominations.,0,6,12,18
The Witch,,0,0,0,0
Love the Coopers,2 nominations,0,0,2,2
Aloha,2 wins & 7 nominations.,0,2,7,9
The Night Before,2 nominations.,0,0,2,2
Run All Night,,0,0,0,0
Poltergeist,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,3,4,4,11
Maze Runner: The Scorch Trials,2 wins & 5 nominations.,0,2,5,7
"McFarland, USA",4 wins & 3 nominations,0,4,3,7
The Martian,Nominated for 7 Oscars. Another 38 wins & 193 nominations.,7,38,193,238
Rock the Kasbah,,0,0,0,0
In the Heart of the Sea,1 win & 5 nominations,0,1,5,6
A Walk in the Woods,1 nomination,0,0,1,1
Victor Frankenstein,4 wins & 1 nomination.,0,4,1,5
Me and Earl and the Dying Girl,18 wins & 30 nominations,0,18,30,48
Eye in the Sky,3 wins & 10 nominations.,0,3,10,13
Experimenter,3 wins & 5 nominations.,0,3,5,8
San Andreas,2 wins & 10 nominations.,0,2,10,12
Pixels,5 wins & 9 nominations.,0,5,9,14
Dragon Blade,4 wins & 2 nominations.,0,4,2,6
Vacation,1 win & 3 nominations.,0,1,3,4
Pitch Perfect 2,9 wins & 16 nominations.,0,9,16,25
Miss You Already,1 nomination.,0,0,1,1
Scouts Guide to the Zombie Apocalypse,5 nominations.,0,0,5,5
Secret in Their Eyes,2 wins & 3 nominations,0,2,3,5
Dope,5 wins & 24 nominations,0,5,24,29
45 Years,Nominated for 1 Oscar. Another 22 wins & 61 nominations.,1,22,61,84
Black Mass,6 wins & 24 nominations.,0,6,24,30
Far from the Madding Crowd,2 wins & 12 nominations,0,2,12,14
The Lazarus Effect,2 nominations,0,0,2,2
The Last Witch Hunter,1 nomination.,0,0,1,1
The Man from U.N.C.L.E.,7 wins & 5 nominations,0,7,5,12
