name,year,budget,gross,adjusted_budget,adjusted_gross
Girlfight,2000,1000000,1523941,1502967,2290434
Italiano para principiantes,2000,0,4447186,0,6683976
Requiem for a Dream,2000,4500000,3609278,6763354,5424627
Return to Me,2000,24000000,32662299,36071220,49090373
Here on Earth,2000,15000000,10494147,22544512,15772362
The 6th Day,2000,82000000,34604280,123243333,52009107
Pok�mon 3: The Movie,2000,16000000,17052128,24047480,25628794
"Me, Myself & Irene",2000,51000000,90570999,76651341,136125266
What Lies Beneath,2000,100000000,155464351,150296748,233657864
Vertical Limit,2000,75000000,69243859,112722561,104071268
Brother,2000,10000000,447750,15029675,672954
Boiler Room,2000,7000000,16938179,10520772,25457532
The Thomas Crown Affair,1999,48000000,69304264,74567395,107663301
Best Laid Plans,1999,7000000,25651,10874412,39849
The Talented Mr. Ripley,1999,40000000,81298265,62139496,126295830
House on Haunted Hill,1999,37000000,40846082,57479034,63453874
At First Sight,1999,60000000,22365133,93209244,34743952
The Messenger: The Story of Joan of Arc,1999,85000000,14276317,132046429,22178079
Simpatico,1999,10000000,902144,15534874,1401469
Austin Powers: The Spy Who Shagged Me,1999,33000000,206040086,51265084,320080676
Mansfield Park,1999,0,4764741,0,7401965
Simplemente irresistible,1999,6000000,4394936,9320924,6827478
Big Daddy,1999,34200000,163479795,53129269,253963801
Fight Club,1999,63000000,37030102,97869706,57525797
Fantasia 2000,1999,80000000,60655420,124278992,94227430
Runaway Bride,1999,70000000,152257509,108744118,236530121
The Winslow Boy,1999,0,3956112,0,6145770
The General's Daughter,1999,95000000,102705852,147581303,159552246
A Room for Romeo Brass,1999,0,18434,0,28637
Eyes Wide Shut,1999,65000000,55691208,100976681,86515590
Eye of the Beholder,1999,35000000,16459004,54372059,25568855
The Other Sister,1999,35000000,27797271,54372059,43182710
The Out-of-Towners,1999,75000000,28535768,116511555,44329956
Star Wars: Episode I - The Phantom Menace,1999,115000000,474544677,178651050,737199174
Better Than Chocolate,1999,0,2011254,0,3124458
Kikujiro,1999,0,198238,0,307960
Universal Soldier: The Return,1999,45000000,10431220,69906933,16204769
10 Things I Hate About You,1999,30000000,38176108,46604622,59306103
Detroit Rock City,1999,6500000,4217115,10097668,6551235
Agnes Browne,1999,0,140426,0,218150
"South Park: Bigger, Longer & Uncut",1999,21000000,52008288,32623235,80794220
Pok�mon: The Movie 2000,1999,30000000,43758684,46604622,67978564
Any Given Sunday,1999,55000000,75530832,85441807,117336195
Enredos de oficina,1999,10000000,10824921,15534874,16816378
Entrapment,1999,66000000,87704396,102530168,136247674
The Matrix,1999,63000000,171479930,97869706,266391910
Arlington Road,1999,31000000,24362501,48158109,37846838
The Omega Code,1999,7500000,12614346,11651155,19596228
Payback,1999,90000000,81526121,139813866,126649801
The End of the Affair,1999,23000000,10660147,35730210,16560404
Snow Falling on Cedars,1999,35000000,14378353,54372059,22336590
Plunkett & Macleane,1999,0,474900,0,737751
The Minus Man,1999,0,368808,0,572939
But I'm a Cheerleader,1999,1200000,2205627,1864185,3426414
Wing Commander,1999,30000000,11576087,46604622,17983305
The Mod Squad,1999,50000000,13260050,77674370,20599321
Deep Blue Sea,1999,60000000,73648142,93209244,114411460
Grey Owl,1999,30000000,632617,46604622,982763
Whiteboyz,1999,0,36025,0,55964
Baby Geniuses,1999,12000000,27141959,18641849,42164691
Dick,1999,13000000,6241697,20195336,9696398
Wild Wild West,1999,170000000,113805681,264092857,176795691
The War Zone,1999,0,254441,0,395271
Pushing Tin,1999,33000000,8406264,51265084,13059025
The Story of Us,1999,50000000,27067160,77674370,42048492
Dead or Alive,1999,0,1841,0,2860
Sleepy Hollow,1999,100000000,101071502,155348739,157013304
The Straight Story,1999,10000000,6203044,15534874,9636351
Deuce Bigalow: Male Gigolo,1999,17000000,65538755,26409286,101813630
The Muse,1999,15000000,11614236,23302311,18042569
Inspector Gadget,1999,90000000,97403112,139813866,151314507
Instinct,1999,80000000,34098563,124278992,52971688
Splendor,1999,0,45703,0,70999
La maldici�n,1999,80000000,91411151,124278992,142006071
Random Hearts,1999,64000000,31054924,99423193,48243433
Play It to the Bone,1999,24000000,8427204,37283697,13091555
The Sixth Sense,1999,40000000,293506292,62139496,455958325
She's All That,1999,10000000,63366989,15534874,98439819
Bicentennial Man,1999,100000000,58220776,155348739,90445242
End of Days,1999,100000000,66889043,155348739,103911285
Anywhere But Here,1999,23000000,18653615,35730210,28978156
The Virgin Suicides,1999,6000000,4859475,9320924,7549133
Rosetta,1999,0,261475,0,406198
Drop Dead Gorgeous,1999,15000000,10561238,23302311,16406750
A Midsummer Night's Dream,1999,11000000,16071990,17088361,24967634
The Mummy,1999,80000000,155247825,124278992,241175539
Being John Malkovich,1999,13000000,22858926,20195336,35511053
eXistenZ: Mundo virtual,1999,0,2840417,0,4412552
Election,1999,25000000,14879556,38837185,23115203
Tea with Mussolini,1999,12000000,14348123,18641849,22289628
True Crime,1999,55000000,16635339,85441807,25842789
Message in a Bottle,1999,80000000,52880016,124278992,82148438
Tarzan,1999,130000000,171091819,201953361,265788984
Molly,1999,21000000,15593,32623235,24224
Rescate explosivo,1999,10000000,292152,15534874,453854
Blue Streak,1999,65000000,68518533,100976681,106442677
Teaching Mrs. Tingle,1999,13000000,8946237,20195336,13897866
Bowfinger,1999,55000000,66384775,85441807,103127911
Magnolia,1999,37000000,22455976,57479034,34885076
The Insider,1999,68000000,28965197,105637143,44997068
The Cider House Rules,1999,24000000,57545092,37283697,89395575
Liberty Heights,1999,0,3732398,0,5798233
Terror Firmer,1999,500000,1434,776744,2228
Cookie's Fortune,1999,8500000,10919177,13204643,16962804
Man on the Moon,1999,82000000,34580635,127385966,53720581
The Color of Paradise,1999,0,1810145,0,2812037
The Bachelor,1999,51000000,21731001,79227857,33758836
Life,1999,80000000,63844974,124278992,99182362
Virus,1999,75000000,14010690,116511555,21765430
Forces of Nature,1999,75000000,52888180,116511555,82161121
In Dreams,1999,30000000,12017369,46604622,18668831
The King and I,1999,25000000,11956538,38837185,18574331
Mumford,1999,28000000,4554569,43497647,7075466
Go,1999,20000000,16842303,31069748,26164305
Gloria,1999,30000000,4155234,46604622,6455104
Titus,1999,0,1921350,0,2984793
Crazy in Alabama,1999,15000000,1954202,23302311,3035828
Virtual Sexuality,1999,0,43865,0,68144
The Iron Giant,1999,70000000,23159305,108744118,35977688
Cradle Will Rock,1999,32000000,2899970,49711597,4505067
Muppets from Space,1999,24000000,16625807,37283697,25827982
Music of the Heart,1999,27000000,14859394,41944160,23083881
Never Been Kissed,1999,25000000,55474756,38837185,86179334
Julien Donkey-Boy,1999,0,80226,0,124630
Trippin',1999,3000000,9016377,4660462,14006828
"Happy, Texas",1999,1700000,1943649,2640929,3019434
The Astronaut's Wife,1999,75000000,10672566,116511555,16579697
Ghost dog - El camino del samurai,1999,0,3308029,0,5138981
American Beauty,1999,15000000,130096601,23302311,202103430
A Walk on the Moon,1999,14000000,4741987,21748824,7366617
East Is East,1999,0,4170647,0,6479048
Edtv,1999,80000000,22362500,124278992,34739862
American Pie,1999,11000000,102561004,17088361,159327227
Double Jeopardy,1999,70000000,116741558,108744118,181356539
Galaxy Quest,1999,45000000,71583916,69906933,111204711
My Life So Far,1999,0,616310,0,957430
Jin-Roh: The Wolf Brigade,1999,0,94591,0,146946
Chill Factor,1999,70000000,11227940,108744118,17442463
My Favorite Martian,1999,65000000,36830057,100976681,57215029
Mystery Men,1999,68000000,29655590,105637143,46069585
"Mystery, Alaska",1999,28000000,8888143,43497647,13807618
Brokedown Palace,1999,25000000,10114315,38837185,15712461
The 13th Warrior,1999,160000000,32698899,248557983,50797327
Topsy-Turvy,1999,0,6201757,0,9634351
"Girl, Interrupted",1999,40000000,28871190,62139496,44851030
Bringing Out the Dead,1999,55000000,16640210,85441807,25850356
The Green Mile,1999,60000000,136801374,93209244,212519210
Body Shots,1999,0,239894,0,372672
Lake Placid,1999,35000000,31770414,54372059,49354938
Toy Story 2,1999,90000000,245852179,139813866,381928261
Coming Soon,1999,0,3742,0,5813
Jesus' Son,1999,2500000,1282084,3883718,1991701
Ride with the Devil,1999,35000000,630779,54372059,979907
200 Cigarettes,1999,6000000,6851636,9320924,10643930
The Hurricane,1999,50000000,50668906,77674370,78713507
All About My Mother,1999,0,8264530,0,12838843
The Adventures of Elmo in Grouchland,1999,26000000,11634458,40390672,18073984
Blast from the Past,1999,35000000,26494611,54372059,41159044
Boys Don't Cry,1999,2000000,11533945,3106975,17917838
An Ideal Husband,1999,14000000,18535191,21748824,28794186
The Road Home,1999,0,1280090,0,1988604
8MM,1999,40000000,36663315,62139496,56955998
The Limey,1999,9000000,3193102,13981387,4960444
The Boondock Saints,1999,7000000,25812,10874412,40099
Human Traffic,1999,0,104257,0,161962
Mickey Blue Eyes,1999,75000000,33864342,116511555,52607828
8 � Women,1999,0,417517,0,648607
In Too Deep,1999,7000000,14003141,10874412,21753703
Black & White,1999,12000000,5241315,18641849,8142317
The Bone Collector,1999,73000000,66518655,113404580,103335892
Dudley Do-Right,1999,70000000,9694105,108744118,15059670
The Girl on the Bridge,1999,0,1708496,0,2654127
Swiri,1999,5000000,97152,7767437,150924
Onegin,1999,14000000,206128,21748824,320217
Idle Hands,1999,25000000,4002955,38837185,6218540
Angela's Ashes,1999,50000000,13038660,77674370,20255394
A Map of the World,1999,0,544538,0,845933
Drive Me Crazy,1999,8500000,17845337,13204643,27722506
Stir of Echoes,1999,12000000,21133087,18641849,32829984
Stigmata,1999,29000000,50046268,45051134,77746247
Outside Providence,1999,7000000,7292175,10874412,11328302
Tumbleweeds,1999,312000,1281176,484688,1990291
The Loss of Sexual Innocence,1999,4000000,399793,6213950,621073
Anna and the King,1999,92000000,39263420,142920840,60995228
The World Is Not Enough,1999,135000000,126943684,209720798,197205413
The Deep End of the Ocean,1999,38000000,13376506,59032521,20780233
The Love Letter,1999,20000000,8276228,31069748,12857016
The Wood,1999,6000000,25047631,9320924,38911179
Jakob the Liar,1999,45000000,4956401,69906933,7699706
Varsity Blues,1999,16000000,52885587,24855798,82157093
Holy Smoke,1999,0,1758780,0,2732243
Love Stinks,1999,4000000,2800000,6213950,4349765
Romance,1999,0,1282941,0,1993033
Cruel Intentions,1999,10500000,38328567,16311618,59542946
La �ltima puerta,1999,38000000,18661336,59032521,28990150
Sweet and Lowdown,1999,29750000,4196621,46216250,6519398
Notting Hill,1999,42000000,116089678,65246471,180343851
For Love of the Game,1999,80000000,35168395,124278992,54633658
El piso 13,1999,16000000,15500000,24855798,24079055
The Corruptor,1999,25000000,15156200,38837185,23544966
Three to Tango,1999,20000000,10544143,31069748,16380193
Godzilla 2000,1999,13000000,10037390,20195336,15592959
Dogma,1999,10000000,30651422,15534874,47616598
Superstar,1999,34000000,30628981,52818571,47581736
October Sky,1999,25000000,32481825,38837185,50460106
Breakfast of Champions,1999,12000000,175370,18641849,272435
The Rage: Carrie 2,1999,21000000,17762705,32623235,27594138
Three Kings,1999,75000000,60652036,116511555,94222173
Summer of Sam,1999,22000000,19283782,34176723,29957112
"Stuart Little, un rat�n en la familia",1999,133000000,140035367,206613824,217543177
Bats,1999,5250000,10155690,8155809,15776736
The Blair Witch Project,1999,60000,140539099,93209,218325719
Jawbreaker,1999,3500000,3071947,5437206,4772231
Analyze This,1999,80000000,106885658,124278992,166045522
The Big Kahuna,1999,0,3150107,0,4893652
Trick,1999,450000,2049595,699069,3184020
The Best Man,1999,9000000,34102780,13981387,52978239
Savior,1998,10000000,12903,15877975,20487
Run Lola Run,1998,0,7267585,0,11539454
The Object of My Affection,1998,15000000,29106737,23816963,46215606
Simon Birch,1998,30000000,18252684,47633926,28981567
Ride,1998,0,5476059,0,8694873
Saving Private Ryan,1998,70000000,216540909,111145828,343823124
The Odd Couple II,1998,0,18912328,0,30028948
Psycho,1998,60000000,21456130,95267853,34067991
What Dreams May Come,1998,85000000,55485043,134962791,88099015
Esc�ndalo,1998,65000000,38966057,103206840,61870210
Wide Awake,1998,7000000,258212,11114583,409988
Beloved,1998,80000000,22852487,127023804,36285123
Ringmaster,1998,3500000,9247881,5557291,14683763
High Art,1998,0,1929168,0,3063128
Enemy of the State,1998,90000000,111549836,142901779,177118556
El secreto,1998,0,5840581,0,9273660
Safe Men,1998,1000000,21210,1587798,33677
The Parent Trap,1998,0,66308518,0,105284502
Rounders,1998,12000000,22905674,19053571,36369573
Doctor Dolittle,1998,71500000,144156605,113527525,228891504
Holy Man,1998,60000000,12065985,95267853,19158341
Rush Hour,1998,33000000,141153686,52397319,224123476
SLC Punk!,1998,0,299200,0,475069
Homegrown,1998,0,215553,0,342255
Hideous Kinky,1998,12000000,1262786,19053571,2005049
Elizabeth,1998,30000000,30082699,47633926,47765236
Barney's Great Adventure,1998,15000000,11144518,23816963,17695238
Ronin,1998,55000000,41616262,87328865,66078199
Dirty Work,1998,13000000,9975684,20641368,15839367
The Siege,1998,70000000,40981289,111145828,65069990
Shakespeare in Love,1998,25000000,100317794,39694939,159284347
Home Fries,1998,15000000,10443316,23816963,16581872
The Replacement Killers,1998,30000000,18967571,47633926,30116663
Senseless,1998,15000000,13035599,23816963,20697892
The Prince of Egypt,1998,70000000,101217900,111145828,160713533
The Rugrats Movie,1998,24000000,100494675,38107141,159565198
Belly,1998,3000000,9630169,4763393,15290759
Lethal Weapon 4,1998,140000000,130444603,222291656,207119621
West Beirut,1998,800000,343229,1270238,544978
Return to Paradise,1998,0,8288513,0,13160481
Hilary and Jackie,1998,7000000,4874838,11114583,7740256
The Opposite of Sex,1998,5000000,5881367,7938988,9338420
B. Monkey,1998,0,34524,0,54817
Why Do Fools Fall in Love,1998,0,12413650,0,19710363
BASEketball,1998,0,6940185,0,11019609
The Players Club,1998,4500000,23031390,7145089,36569185
A Night at the Roxbury,1998,17000000,30324946,26992558,48149875
Babe el puerquito va a la ciudad,1998,80000000,18319860,127023804,29088229
Rudolph the Red-Nosed Reindeer,1998,0,113484,0,180190
Rushmore,1998,9000000,17105219,14290178,27159625
Hope Floats,1998,30000000,60053195,47633926,95352316
Blade,1998,45000000,70087718,71450890,111285107
"Black Cat, White Cat",1998,0,348660,0,553601
The Legend of 1900,1998,9000000,259127,14290178,411441
He Got Game,1998,25000000,21554585,39694939,34224317
Black Dog,1998,0,12829351,0,20370412
Hurlyburly,1998,0,1796328,0,2852205
Lovers of the Arctic Circle,1998,0,504223,0,800604
Hush,1998,0,13513622,0,21456896
Following,1998,6000,48482,9527,76980
The Last Days of Disco,1998,8000000,2987297,12702380,4743223
The Red Violin,1998,10000000,9473382,15877975,15041813
The Land Girls,1998,0,146083,0,231950
Thursday,1998,0,3121,0,4956
Gods and Monsters,1998,3500000,6390032,5557291,10146077
Halloween H20: 20 Years Later,1998,17000000,55041738,26992558,87395137
U.S. Marshals,1998,60000000,57167405,95267853,90770265
54,1998,13000000,16574731,20641368,26317317
Free Enterprise,1998,0,30229,0,47998
One True Thing,1998,30000000,23245840,47633926,36909688
Strangeland,1998,1100000,631221,1746577,1002251
Tarzan and the Lost City,1998,20000000,2147114,31755951,3409182
Chairman of the Board,1998,0,306715,0,487001
Goodbye Lover,1998,20000000,1923061,31755951,3053432
Another Day in Paradise,1998,4500000,1025234,7145089,1627864
Celebrity,1998,12000000,5032496,19053571,7990585
Firestorm,1998,19000000,8041665,30168153,12768536
Un �ngel enamorado,1998,55000000,78685114,87328865,124936031
Ciudad en tinieblas,1998,27000000,14378331,42870534,22829879
Woo,1998,13000000,8026971,20641368,12745205
Central Station,1998,2900000,5595428,4604613,8884407
The X Files,1998,66000000,83898313,104794638,133213535
Mighty Joe Young,1998,90000000,50632037,142901779,80393424
Still Crazy,1998,0,477903,0,758813
Buffalo '66,1998,1500000,2375097,2381696,3771173
Out of Sight,1998,48000000,37562568,76214282,59641753
Dangerous Beauty,1998,8000000,4530929,12702380,7194198
Dancing at Lughnasa,1998,0,2285194,0,3628425
Dance with Me,1998,0,15814088,0,25109570
There's Something About Mary,1998,23000000,176484651,36519344,280221896
Cousin Bette,1998,0,1200000,0,1905357
The Magic Sword: Quest for Camelot,1998,40000000,22717758,63511902,36071200
The Horse Whisperer,1998,60000000,75383563,95267853,119693836
Mafia!,1998,10000000,19882538,15877975,31569445
All I Wanna Do,1998,0,968506,0,1537791
My Giant,1998,0,7985929,0,12680038
Bride of Chucky,1998,25000000,32383850,39694939,51418998
Velvet Goldmine,1998,0,1053788,0,1673202
You've Got Mail,1998,65000000,115821495,103206840,183901086
Get Real,1998,0,1200000,0,1905357
3 Ninjas: High Noon at Mega Mountain,1998,0,375805,0,596702
Major League: Back to the Minors,1998,18000000,3551208,28580356,5638599
Mulan,1998,90000000,120620254,142901779,191520543
Almost Heroes,1998,30000000,6114928,47633926,9709268
The Hi-Lo Country,1998,0,163810,0,260097
The Big Hit,1998,13000000,27052167,20641368,42953364
The Big Lebowski,1998,15000000,17451873,23816963,27710041
Clay Pigeons,1998,8000000,1789892,12702380,2841986
Your Friends & Neighbors,1998,5000000,4710749,7938988,7479716
My Name Is Joe,1998,0,346696,0,550483
Madeline,1998,0,29767901,0,47265400
Xiu Xiu: The Sent-Down Girl,1998,0,1000000,0,1587798
I Want You,1998,0,1242,0,1972
Blues Brothers 2000,1998,28000000,13979599,44458331,22196773
Zero Effect,1998,5000000,1980338,7938988,3144376
New Rose Hotel,1998,0,20416,0,32416
I Still Know What You Did Last Summer,1998,24000000,40002112,38107141,63515255
Vampires,1998,20000000,20241395,31755951,32139237
The Impostors,1998,0,2197921,0,3489854
Immortality,1998,0,21404,0,33985
I'll Be Home for Christmas,1998,30000000,12213678,47633926,19392848
American History X,1998,7500000,6719864,11908482,10669784
The Celebration,1998,1300000,1647780,2064137,2616341
Very Bad Things,1998,10000000,9801782,15877975,15563245
Twice Upon a Yesterday,1998,0,258464,0,410389
Hard Rain,1998,70000000,19819494,111145828,31469344
Jack Frost,1998,85000000,34545030,134962791,54850514
Train of Life,1998,0,154790,0,245775
Without Limits,1998,25000000,777423,39694939,1234390
Stepmom,1998,50000000,91137662,79389877,144708156
The General,1998,0,1211865,0,1924196
The Thin Red Line,1998,52000000,36400491,82565472,57796610
Pleasantville,1998,40000000,40568025,63511902,64413811
Meet the Deedles,1998,24000000,4308981,38107141,6841789
Playing by Heart,1998,14000000,3956212,22229166,6281664
The Mighty,1998,0,2643689,0,4197643
Kissing a Fool,1998,0,4002640,0,6355382
Star Trek: Insurrection,1998,58000000,70117571,92092258,111332507
Bulworth,1998,30000000,26525834,47633926,42117654
Fallen,1998,0,25188006,0,39993454
Phantoms,1998,0,5657370,0,8982758
Slappy and the Stinkers,1998,0,34488,0,54760
The Newton Boys,1998,27000000,10297897,42870534,16350976
Sour Grapes,1998,0,219932,0,349207
Pi,1998,60000,3216970,95268,5107897
Urban Legend,1998,14000000,38072438,22229166,60451324
Little Voice,1998,0,4595000,0,7295930
Species II,1998,0,19165560,0,30431029
Ever After: A Cinderella Story,1998,26000000,65705771,41282736,104327462
Meet Joe Black,1998,90000000,44619100,142901779,70846097
Soldier,1998,60000000,14567883,95267853,23130849
Slums of Beverly Hills,1998,5000000,5480318,7938988,8701635
A Perfect Murder,1998,60000000,67638368,95267853,107396035
Sliding Doors,1998,9000000,11883495,14290178,18868584
Smoke Signals,1998,2000000,6719300,3175595,10668888
A Civil Action,1998,75000000,56702901,119084816,90032727
Snake Eyes,1998,73000000,55585389,115909221,88258344
Acusado sin raz�n,1998,0,9623329,0,15279898
Deep Rising,1998,45000000,11203026,71450890,17788137
Deep Impact,1998,75000000,140464664,119084816,223029449
"Lock, Stock and Two Smoking Barrels",1998,0,3650677,0,5796536
The Truman Show,1998,60000000,125618201,95267853,199456271
Knock Off,1998,35000000,10076136,55572914,15998864
Krippendorf's Tribe,1998,0,7514883,0,11932113
Wild Things,1998,20000000,29753944,31755951,47243239
Pok�mon: The First Movie - Mewtwo Strikes Back,1998,30000000,85744662,47633926,136145164
Small Soldiers,1998,40000000,54682547,63511902,86824814
Practical Magic,1998,48000000,46683377,76214282,74123751
Apt Pupil,1998,14000000,8838938,22229166,14034444
Half Baked,1998,8000000,17278980,12702380,27435522
Paulie,1998,23000000,27008669,36519344,42884298
Six-String Samurai,1998,2000000,124494,3175595,197671
Six Days Seven Nights,1998,70000000,74329966,111145828,118020938
How Stella Got Her Groove Back,1998,20000000,37672350,31755951,59816065
The Wedding Singer,1998,18000000,80245725,28580356,127413965
The Man in the Iron Mask,1998,35000000,56968902,55572914,90455083
Patch Adams,1998,90000000,135026902,142901779,214395384
Fear and Loathing in Las Vegas,1998,18500000,10680275,29374255,16958114
Mercury Rising,1998,60000000,32940507,95267853,52302856
Waking Ned Devine,1998,3000000,24788807,4763393,39359607
The Gingerbread Man,1998,25000000,1534569,39694939,2436585
Los idiotas,1998,2500000,7235,3969494,11488
Desperate Measures,1998,50000000,13806137,79389877,21921350
Antz,1998,105000000,90757863,166718742,144105112
A Simple Plan,1998,17000000,16311763,26992558,25899777
Pecker,1998,6000000,2281761,9526785,3622975
Can't Hardly Wait,1998,10000000,25339117,15877975,40233388
Armageddon,1998,140000000,201573391,222291656,320057736
The Waterboy,1998,20000000,161491646,31755951,256416039
Dead Man on Campus,1998,14000000,15062898,22229166,23916832
The Mask of Zorro,1998,65000000,94095523,103206840,149404641
Permanent Midnight,1998,0,1166199,0,1851688
The Faculty,1998,15000000,40064955,23816963,63615037
The Dinner Game,1998,0,4065116,0,6454581
Perturbados,1998,15000000,17411331,23816963,27645669
Air Bud: Golden Receiver,1998,0,10215386,0,16219965
A Bug's Life,1998,120000000,162798565,190535706,258491162
Sphere,1998,80000000,37020277,127023804,58780705
Jackie Brown,1997,12000000,39673162,19350355,63974148
City of Industry,1997,8000000,1495332,12900237,2411267
The Boxer,1997,0,5799672,0,9352143
'Til There Was You,1997,1000000,3478370,1612530,5608975
The End of Violence,1997,5000000,283033,8062648,456399
Camino sin retorno,1997,19000000,6633400,30638062,10696554
Inventing the Abbotts,1997,0,5936344,0,9572530
Zeus and Roxanne,1997,0,7183046,0,11582874
The Butcher Boy,1997,0,1822193,0,2938340
The Edge,1997,0,27779888,0,44795892
In the Company of Men,1997,25000,2856622,40313,4606388
The Rainmaker,1997,40000000,45856732,64501184,73945337
Cats Don't Dance,1997,32000000,3562749,51600947,5745038
Addicted to Love,1997,0,34656904,0,55885283
The Devil's Advocate,1997,57000000,60984028,91914187,98338550
Buddy,1997,0,10005081,0,16133489
The Devil's Own,1997,86000000,42868348,138677545,69126480
Character,1997,4500000,713413,7256383,1150400
Lawn Dogs,1997,7000000,106292,11287707,171399
The Real Blonde,1997,0,247745,0,399496
Bean,1997,22000000,45319423,35475651,73078911
Chasing Amy,1997,250000,12006514,403132,19360859
The Game,1997,50000000,48323648,80626480,77923313
In & Out,1997,35000000,63856929,56438536,102971188
The Full Monty,1997,3500000,45950122,5643854,74095932
Children of Heaven,1997,180000,925402,290255,1492238
The Castle,1997,0,861789,0,1389660
The Borrowers,1997,29000000,22359293,46763358,36055022
I Know What You Did Last Summer,1997,17000000,72586134,27413003,117047289
Breaking Up,1997,0,11690,0,18850
How to Be a Player,1997,0,13960203,0,22511240
Speed 2: Cruise Control,1997,160000000,48608066,258004735,78381945
Shooting Fish,1997,3000000,302204,4837589,487313
Spice World,1997,25000000,29342592,40313240,47315798
The MatchMaker,1997,0,3376403,0,5444550
The Peacemaker,1997,50000000,41263140,80626480,66538034
The Manson Family,1997,0,19140,0,30864
Wishmaster,1997,5000000,15719109,8062648,25347528
Breakdown,1997,36000000,50129186,58051065,80834796
Star Kid,1997,12000000,7015240,19350355,11312282
Star Maps,1997,0,592573,0,955541
The Man Who Knew Too Little,1997,20000000,13801755,32250592,22255738
Starship Troopers,1997,105000000,54814377,169315607,88389805
Steel,1997,16000000,1710972,25800474,2758993
The Lost World: Jurassic Park,1997,73000000,229086679,117714660,369409050
Digging to China,1997,0,33556,0,54110
Spawn,1997,40000000,54967359,64501184,88636493
Beverly Hills Ninja,1997,0,31235710,0,50368507
Kiss the Girls,1997,27000000,60527873,43538299,97602987
Soul Food,1997,7500000,43490057,12093972,70129004
Wilde,1997,10000000,2157701,16125296,3479357
Deceiver,1997,0,572433,0,923065
Hoodlum,1997,30000000,23461013,48375888,37831578
Deconstructing Harry,1997,20000000,10569071,32250592,17042940
Smilla's Sense of Snow,1997,35000000,2221994,56438536,3583031
Wild America,1997,0,7324662,0,11811234
Kull the Conqueror,1997,0,6086891,0,9815292
L.A. Confidential,1997,35000000,64616940,56438536,104196728
Kundun,1997,28000000,5532301,45150829,8920999
Bent,1997,0,372341,0,600411
The Night Flier,1997,1000000,125397,1612530,202206
Dante's Peak,1997,116000000,67127760,187053433,108245500
Home Alone 3,1997,32000000,30882515,51600947,49798969
Dangerous Ground,1997,0,5079851,0,8191410
Contact,1997,90000000,100920329,145127664,162737017
Clockwatchers,1997,0,444354,0,716534
The Beautician and the Beast,1997,16000000,11486880,25800474,18522934
The Assignment,1997,0,540063,0,870868
The House of Yes,1997,1500000,617403,2418794,995581
The Apostle,1997,5000000,20733485,8062648,33433358
Double Team,1997,30000000,11438337,48375888,18444657
Scream 2,1997,24000000,101363301,38700710,163451323
Booty Call,1997,0,20060051,0,32347426
The Postman,1997,80000000,17626234,129002368,28422824
Boogie Nights,1997,15000000,26400640,24187944,42571813
The Ice Storm,1997,18000000,7837632,29025533,12638414
Con Air,1997,75000000,101117573,120939720,163055079
That Darn Cat,1997,0,18301610,0,29511888
Conspiracy Theory,1997,75000000,75982834,120939720,122524569
Donnie Brasco,1997,35000000,41909762,56438536,67580732
Still Breathing,1997,0,212267,0,342287
Cop Land,1997,10000000,44886089,16125296,72380147
Selena,1997,20000000,35422828,32250592,57120358
The Jackal,1997,60000000,54930280,96751776,88576702
8 Heads in a Duffel Bag,1997,3000000,3559990,4837589,5740589
Bliss,1997,0,207751,0,335005
Sin embargo es adorable,1997,18000000,7221836,29025533,11645424
Switchback,1997,37000000,6482195,59663595,10452731
Jungle 2 Jungle,1997,32000000,59925026,51600947,96630878
The Last Time I Committed Suicide,1997,4000000,46362,6450118,74760
Seven Years in Tibet,1997,70000000,37957682,112877072,61207886
Suicide Kings,1997,5000000,1692872,8062648,2729806
The Pest,1997,17000000,3506206,27413003,5653861
Shadow Conspiracy,1997,45000000,2154540,72563832,3474260
Batman & Robin,1997,125000000,107325195,201566199,173065053
The Fifth Element,1997,93000000,63540020,149965252,102460163
Alien Resurrection,1997,75000000,47748610,120939720,76996047
For Richer or Poorer,1997,35000000,31611225,56438536,50974036
Going All the Way,1997,0,86175,0,138960
Titanic,1997,200000000,658672302,322505919,1062128580
Princess Mononoke,1997,0,2375308,0,3830254
Gone Fishin',1997,53000000,19736932,85464069,31826387
Eight Days a Week,1997,0,26347,0,42485
Face/Off,1997,80000000,112225777,129002368,180967387
FairyTale: A True Story,1997,0,14036249,0,22633867
An American Werewolf in Paris,1997,22000000,26570463,35475651,42845658
Volcano,1997,90000000,49323468,145127664,79535552
Picture Perfect,1997,10000000,31058643,16125296,50082981
Mimic,1997,30000000,25480490,48375888,41088044
Good Burger,1997,9000000,23687907,14512766,38197451
Private Parts,1997,20000000,41198146,32250592,66433230
Washington Square,1997,0,1710693,0,2758543
Midnight in the Garden of Good and Evil,1997,35000000,25078937,56438536,40440528
Anaconda,1997,45000000,65885767,72563832,106242749
G.I. Jane,1997,50000000,48169156,80626480,77674190
Absolute Power,1997,50000000,50007168,80626480,80638038
Mr. Jealousy,1997,0,287752,0,464009
Nothing to Lose,1997,25000000,44455658,40313240,71686064
The Sixth Man,1997,11000000,14708874,17737826,23718495
Nowhere,1997,0,27354,0,44109
Austin Powers: International Man of Mystery,1997,17000000,53883989,27413003,86889527
Good Will Hunting,1997,10000000,138433435,16125296,223228011
Fools Rush In,1997,0,29291566,0,47233517
